unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1659866400,2022/8/7 10:00,BTC/USDT,22939.76,22939.76,22939.76,22939.76,0,0
1659862800,2022/8/7 9:00,BTC/USDT,22939.76,22939.76,22939.76,22939.76,0.00916149,210.1623818
1659859200,2022/8/7 8:00,BTC/USDT,22987.23,22987.23,22964.06,22964.06,0.00278043,63.84996135
1659855600,2022/8/7 7:00,BTC/USDT,23037.44,23037.44,23037.44,23037.44,0,0
1659852000,2022/8/7 6:00,BTC/USDT,23037.44,23037.44,23037.44,23037.44,0,0
1659848400,2022/8/7 5:00,BTC/USDT,23037.44,23037.44,23037.44,23037.44,0,0
1659844800,2022/8/7 4:00,BTC/USDT,23037.44,23037.44,23037.44,23037.44,0,0
1659841200,2022/8/7 3:00,BTC/USDT,23037.44,23037.44,23037.44,23037.44,0,0
1659837600,2022/8/7 2:00,BTC/USDT,23037.44,23037.44,23037.44,23037.44,0,0
1659834000,2022/8/7 1:00,BTC/USDT,23037.44,23037.44,23037.44,23037.44,0,0
1659830400,2022/8/7 0:00,BTC/USDT,23037.44,23037.44,23037.44,23037.44,0.04385947,1010.409909
1659826800,2022/8/6 23:00,BTC/USDT,23155.62,23155.62,23155.62,23155.62,0,0
1659823200,2022/8/6 22:00,BTC/USDT,23155.62,23155.62,23155.62,23155.62,0,0
1659819600,2022/8/6 21:00,BTC/USDT,23155.62,23155.62,23155.62,23155.62,0,0
1659816000,2022/8/6 20:00,BTC/USDT,23155.62,23155.62,23155.62,23155.62,0.00066514,15.40172909
1659812400,2022/8/6 19:00,BTC/USDT,23164.74,23185.99,23164.73,23185.99,0.05835595,1353.040473
1659808800,2022/8/6 18:00,BTC/USDT,23180.74,23180.74,23180.74,23180.74,0,0
